OBJECTID,DC_DIST,SECTOR,DISPATCH_DATE_TIME,LOCATION_BLOCK,UCR_GENERAL,TEXT_GENERAL_CODE,DIV_NAME,PSA_NUM,UCR_CATEGORY,UCR_Type,DISPATCH_DATE_TIME_MS,HH,MM,SS,SSS,x,y
1066,24,2,11/13/2018 5:23:00 AM,600 BLOCK E CLEARFIELD ST,700,Recovered Stolen Motor Vehicle,EPD,242,Property Crime,MV Theft,11/13/2018 5:23:01 AM,0,23,1,788,-75.119,39.9956
1067,24,2,9/8/2018 12:22:00 AM,3000 BLOCK F ST,300,Robbery No Firearm,EPD,242,Violent Crime,Robbery,9/8/2018 12:22:01 AM,20,22,1,789,-75.1181,39.994
1068,24,2,8/24/2018 11:44:00 PM,700 BLOCK E CLEARFIELD ST,600,Thefts,EPD,242,Property Crime,Larceny,8/24/2018 11:44:01 PM,19,44,1,790,-75.1177,39.9954
1069,24,2,3/15/2018 2:07:00 AM,700 BLOCK E ALLEGHENY AVE,400,Aggravated Assault No Firearm,EPD,242,Violent Crime,Agg. Assault,3/15/2018 2:07:01 AM,22,7,1,794,-75.1174,39.997
1070,24,2,7/29/2018 10:46:00 PM,3100 BLOCK KENSINGTON AVE,400,Aggravated Assault No Firearm,EPD,242,Violent Crime,Agg. Assault,7/29/2018 10:46:01 PM,18,46,1,795,-75.1151,39.9954
1071,24,2,7/7/2018 6:45:00 PM,2900 BLOCK D ST,500,Burglary Residential,EPD,242,Property Crime,Burglary,7/7/2018 6:45:01 PM,14,45,1,797,-75.1221,39.9934
1072,24,2,4/18/2018 2:17:00 PM,500 BLOCK E INDIANA AVE,400,Aggravated Assault No Firearm,EPD,242,Violent Crime,Agg. Assault,4/18/2018 2:17:01 PM,10,17,1,799,-75.1219,39.9944
1073,24,2,9/22/2018 11:42:00 PM,600 BLOCK E ALLEGHENY AVE,400,Aggravated Assault Firearm,EPD,242,Violent Crime,Agg. Assault,9/22/2018 11:42:01 PM,19,42,1,802,-75.1193,39.9972
1074,24,2,6/18/2018 12:23:00 PM,3000 BLOCK RUTH ST,500,Burglary Residential,EPD,242,Property Crime,Burglary,6/18/2018 12:23:01 PM,8,23,1,810,-75.1164,39.9943
1075,24,2,1/4/2018 6:20:00 PM,2800 BLOCK KENSINGTON AV,600,Theft from Vehicle,EPD,242,Property Crime,Larceny,1/4/2018 6:20:01 PM,13,20,1,817,-75.1207,39.9924
